DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=1974876252,d=2,props={send invoice}|{make delivery},state=PlaceState{presetChildrenMask={3, 4, 5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=513399587,d=2,props={send reminder}|{make delivery},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=513399587,d=2,props={send reminder}|{make delivery},state=PlaceState{presetChildrenMask={4, 5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=831117236,d=2,props={cancel order}|{make delivery},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=831117236,d=2,props={cancel order}|{make delivery},state=PlaceState{presetChildrenMask={5, 6}, postsetChildrenMask={2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=-1502464563,d=2,props={pay}|{make delivery},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=-1502464563,d=2,props={pay}|{make delivery},state=PlaceState{presetChildrenMask={6}, postsetChildrenMask={2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: H((id=1178451863,d=2,props={make delivery}|{make delivery},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={2, 3, 4, 5, 6}})) = 2.0
DEBUG - heuristics @ 14:49:52.396: EnqueueNodeEvent((id=1178451863,d=2,props={make delivery}|{make delivery},state=PlaceState{presetChildrenMask={}, postsetChildrenMask={2, 3, 4, 5, 6}}))
DEBUG - heuristics @ 14:49:52.396: DequeueNodeEvent((id=839933184,d=1,props={}|{make delivery},state=PlaceState{presetChildrenMask={0, 1, 2, 3, 4, 5, 6}, postsetChildrenMask={}}))
