"time","candidate","score"
"2022-08-10T16:05:18.265","(d=3, props={▷, make delivery}|{send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={send invoice}|{☐, make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={send invoice}|{☐, pay}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={send invoice}|{☐, cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={4, 5, 6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={send invoice}|{☐, send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={5, 6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={send invoice}|{☐, send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={send invoice}|{☐, place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={send invoice, send reminder}|{☐}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={4, 5, 6}, potentialFuturePostsetExpansions={1, 2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={send invoice, cancel order}|{☐}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={5, 6}, potentialFuturePostsetExpansions={1, 2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.265","(d=3, props={send invoice, pay}|{☐}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={6}, potentialFuturePostsetExpansions={1, 2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.279","(d=3, props={send invoice, make delivery}|{☐}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={1, 2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.279","(d=3, props={▷}|{make delivery, pay}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.281","(d=3, props={▷}|{make delivery, cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={4, 5, 6}})","3.0"
"2022-08-10T16:05:18.285","(d=3, props={▷}|{make delivery, send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={5, 6}})","3.0"
"2022-08-10T16:05:18.286","(d=3, props={▷}|{make delivery, send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.286","(d=3, props={▷}|{make delivery, place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={}})","3.0"
"2022-08-10T16:05:18.286","(d=3, props={▷, place order}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={2, 3, 4, 5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.286","(d=3, props={▷, send invoice}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={3, 4, 5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.286","(d=3, props={▷, send reminder}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={4, 5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.286","(d=3, props={▷, cancel order}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.286","(d=3, props={▷, pay}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.287","(d=3, props={▷, make delivery}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.287","(d=3, props={place order}|{make delivery, pay}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.288","(d=3, props={place order}|{make delivery, cancel order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={4, 5, 6}})","3.0"
"2022-08-10T16:05:18.288","(d=3, props={place order}|{make delivery, send reminder}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={5, 6}})","3.0"
"2022-08-10T16:05:18.288","(d=3, props={place order}|{make delivery, send invoice}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={6}})","3.0"
"2022-08-10T16:05:18.288","(d=3, props={place order}|{make delivery, place order}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={}})","3.0"
"2022-08-10T16:05:18.288","(d=3, props={place order, send invoice}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={3, 4, 5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.289","(d=3, props={place order, send reminder}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={4, 5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.289","(d=3, props={place order, cancel order}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={5, 6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.289","(d=3, props={place order, pay}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={6}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
"2022-08-10T16:05:18.289","(d=3, props={place order, make delivery}|{make delivery}, state=PlaceState{actualPresetExpansions={}, actualPostsetExpansions={};potentialFuturePresetExpansions={}, potentialFuturePostsetExpansions={2, 3, 4, 5, 6}})","3.0"
